date,open,high,low,close,tick_volume,spread,real_volume
2021-06-25,1.39174,1.39355,1.38716,1.38782,57991,0,0
2021-06-28,1.38833,1.39395,1.38706,1.38794,55206,0,0
2021-06-29,1.38794,1.38822,1.38139,1.38416,55113,0,0
2021-06-30,1.38358,1.38725,1.37983,1.38324,63044,0,0
2021-07-01,1.38226,1.38343,1.37525,1.37623,58456,0,0
2021-07-02,1.3764,1.38445,1.37315,1.38327,64287,0,0
2021-07-05,1.38226,1.38621,1.38069,1.384,40025,0,0
2021-07-06,1.38352,1.38988,1.3773,1.37947,66648,0,0
2021-07-07,1.37974,1.38422,1.37541,1.37986,68417,0,0
2021-07-08,1.37983,1.38051,1.3742,1.37896,72196,0,0
2021-07-09,1.37818,1.3901,1.37556,1.38984,67858,0,0
2021-07-12,1.38832,1.39096,1.38391,1.38803,56104,0,0
2021-07-13,1.38726,1.39052,1.37998,1.38105,60113,0,0
